iso3_code,year,scenario,predicted_prevalence
USA,2030,baseline,14.45
USA,2040,baseline,16.24
USA,2050,baseline,17.95
USA,2030,reduce_bmi_5pct,12.06
USA,2040,reduce_bmi_5pct,14.56
USA,2050,reduce_bmi_5pct,17.09
USA,2030,reduce_glucose_10pct,14.22
USA,2040,reduce_glucose_10pct,16.01
USA,2050,reduce_glucose_10pct,17.8
USA,2030,increase_physical_activity,14.6
USA,2040,increase_physical_activity,16.41
USA,2050,increase_physical_activity,18.06
USA,2030,combined_intervention,12.15
USA,2040,combined_intervention,14.63
USA,2050,combined_intervention,17.14
USA,2030,worst_case,16.92
USA,2040,worst_case,17.96
USA,2050,worst_case,18.81
IND,2030,baseline,17.71
IND,2040,baseline,19.08
IND,2050,baseline,19.38
IND,2030,reduce_bmi_5pct,18.36
IND,2040,reduce_bmi_5pct,19.15
IND,2050,reduce_bmi_5pct,19.38
IND,2030,reduce_glucose_10pct,17.61
IND,2040,reduce_glucose_10pct,19.07
IND,2050,reduce_glucose_10pct,19.38
IND,2030,increase_physical_activity,18.55
IND,2040,increase_physical_activity,18.94
IND,2050,increase_physical_activity,19.36
IND,2030,combined_intervention,18.96
IND,2040,combined_intervention,19.05
IND,2050,combined_intervention,19.37
IND,2030,worst_case,17.74
IND,2040,worst_case,19.29
IND,2050,worst_case,19.39
CHN,2030,baseline,16.53
CHN,2040,baseline,20.35
CHN,2050,baseline,20.33
CHN,2030,reduce_bmi_5pct,16.83
CHN,2040,reduce_bmi_5pct,20.37
CHN,2050,reduce_bmi_5pct,20.42
CHN,2030,reduce_glucose_10pct,15.74
CHN,2040,reduce_glucose_10pct,19.84
CHN,2050,reduce_glucose_10pct,20.22
CHN,2030,increase_physical_activity,16.0
CHN,2040,increase_physical_activity,19.7
CHN,2050,increase_physical_activity,20.11
CHN,2030,combined_intervention,15.8
CHN,2040,combined_intervention,19.43
CHN,2050,combined_intervention,20.1
CHN,2030,worst_case,16.62
CHN,2040,worst_case,20.28
CHN,2050,worst_case,20.11
BRA,2030,baseline,14.37
BRA,2040,baseline,17.29
BRA,2050,baseline,19.12
BRA,2030,reduce_bmi_5pct,12.79
BRA,2040,reduce_bmi_5pct,16.49
BRA,2050,reduce_bmi_5pct,18.97
BRA,2030,reduce_glucose_10pct,13.79
BRA,2040,reduce_glucose_10pct,16.95
BRA,2050,reduce_glucose_10pct,19.07
BRA,2030,increase_physical_activity,14.94
BRA,2040,increase_physical_activity,17.57
BRA,2050,increase_physical_activity,19.16
BRA,2030,combined_intervention,13.44
BRA,2040,combined_intervention,16.81
BRA,2050,combined_intervention,19.02
BRA,2030,worst_case,17.33
BRA,2040,worst_case,18.72
BRA,2050,worst_case,19.33
MEX,2030,baseline,19.73
MEX,2040,baseline,21.04
MEX,2050,baseline,22.09
MEX,2030,reduce_bmi_5pct,20.13
MEX,2040,reduce_bmi_5pct,21.76
MEX,2050,reduce_bmi_5pct,23.12
MEX,2030,reduce_glucose_10pct,19.4
MEX,2040,reduce_glucose_10pct,20.88
MEX,2050,reduce_glucose_10pct,22.04
MEX,2030,increase_physical_activity,19.52
MEX,2040,increase_physical_activity,20.76
MEX,2050,increase_physical_activity,21.64
MEX,2030,combined_intervention,19.27
MEX,2040,combined_intervention,20.93
MEX,2050,combined_intervention,22.31
MEX,2030,worst_case,19.7
MEX,2040,worst_case,20.83
MEX,2050,worst_case,21.75
IDN,2030,baseline,13.24
IDN,2040,baseline,17.96
IDN,2050,baseline,19.84
IDN,2030,reduce_bmi_5pct,13.98
IDN,2040,reduce_bmi_5pct,18.09
IDN,2050,reduce_bmi_5pct,19.85
IDN,2030,reduce_glucose_10pct,12.82
IDN,2040,reduce_glucose_10pct,17.6
IDN,2050,reduce_glucose_10pct,19.72
IDN,2030,increase_physical_activity,12.7
IDN,2040,increase_physical_activity,17.5
IDN,2050,increase_physical_activity,19.61
IDN,2030,combined_intervention,13.04
IDN,2040,combined_intervention,17.45
IDN,2050,combined_intervention,19.55
IDN,2030,worst_case,12.83
IDN,2040,worst_case,18.09
IDN,2050,worst_case,19.83
DEU,2030,baseline,11.75
DEU,2040,baseline,16.6
DEU,2050,baseline,18.85
DEU,2030,reduce_bmi_5pct,11.3
DEU,2040,reduce_bmi_5pct,16.34
DEU,2050,reduce_bmi_5pct,18.78
DEU,2030,reduce_glucose_10pct,11.88
DEU,2040,reduce_glucose_10pct,16.64
DEU,2050,reduce_glucose_10pct,18.86
DEU,2030,increase_physical_activity,12.08
DEU,2040,increase_physical_activity,16.7
DEU,2050,increase_physical_activity,18.86
DEU,2030,combined_intervention,11.73
DEU,2040,combined_intervention,16.48
DEU,2050,combined_intervention,18.79
DEU,2030,worst_case,12.88
DEU,2040,worst_case,17.11
DEU,2050,worst_case,18.98
GBR,2030,baseline,13.98
GBR,2040,baseline,18.6
GBR,2050,baseline,19.36
GBR,2030,reduce_bmi_5pct,13.61
GBR,2040,reduce_bmi_5pct,18.52
GBR,2050,reduce_bmi_5pct,19.35
GBR,2030,reduce_glucose_10pct,13.98
GBR,2040,reduce_glucose_10pct,18.6
GBR,2050,reduce_glucose_10pct,19.36
GBR,2030,increase_physical_activity,14.24
GBR,2040,increase_physical_activity,18.62
GBR,2050,increase_physical_activity,19.36
GBR,2030,combined_intervention,13.86
GBR,2040,combined_intervention,18.54
GBR,2050,combined_intervention,19.35
GBR,2030,worst_case,14.95
GBR,2040,worst_case,18.76
GBR,2050,worst_case,19.37
JPN,2030,baseline,12.06
JPN,2040,baseline,15.71
JPN,2050,baseline,18.12
JPN,2030,reduce_bmi_5pct,13.45
JPN,2040,reduce_bmi_5pct,16.47
JPN,2050,reduce_bmi_5pct,18.38
JPN,2030,reduce_glucose_10pct,12.05
JPN,2040,reduce_glucose_10pct,15.73
JPN,2050,reduce_glucose_10pct,18.13
JPN,2030,increase_physical_activity,12.44
JPN,2040,increase_physical_activity,15.38
JPN,2050,increase_physical_activity,17.64
JPN,2030,combined_intervention,13.59
JPN,2040,combined_intervention,16.2
JPN,2050,combined_intervention,18.05
JPN,2030,worst_case,12.71
JPN,2040,worst_case,16.74
JPN,2050,worst_case,18.76
NGA,2030,baseline,13.35
NGA,2040,baseline,17.86
NGA,2050,baseline,19.32
NGA,2030,reduce_bmi_5pct,13.9
NGA,2040,reduce_bmi_5pct,18.03
NGA,2050,reduce_bmi_5pct,19.33
NGA,2030,reduce_glucose_10pct,13.2
NGA,2040,reduce_glucose_10pct,17.76
NGA,2050,reduce_glucose_10pct,19.29
NGA,2030,increase_physical_activity,13.25
NGA,2040,increase_physical_activity,17.72
NGA,2050,increase_physical_activity,19.25
NGA,2030,combined_intervention,13.65
NGA,2040,combined_intervention,17.83
NGA,2050,combined_intervention,19.25
NGA,2030,worst_case,12.82
NGA,2040,worst_case,17.77
NGA,2050,worst_case,19.34
